1781596474.0299687,15764,-88,1028
1781596474.0299687,16204,132,1340
1781596474.0315397,16404,572,1296
1781596474.0315397,16232,252,1624
1781596474.0315397,16188,172,1724
1781596474.0315397,15960,76,1544
1781596474.0315397,15556,16,1384
1781596474.0315397,15320,96,1500
1781596474.0315397,15708,152,1356
1781596474.0329566,15924,-8,1096
1781596474.0329566,16084,80,1088
1781596474.0329566,16384,208,1428
1781596474.0329566,16392,408,1612
1781596474.0329566,15900,-168,1096
1781596474.0329566,16232,248,1352
1781596474.0329566,15860,-8,1536
1781596474.0329566,16028,532,1876
1781596474.0329566,15960,-84,1144
1781596474.0329566,16040,-36,964
1781596474.0329566,16120,-52,784
1781596474.034071,15708,48,1088
1781596474.034071,16092,216,1540
1781596474.034071,15976,-212,1328
1781596474.034071,15852,-188,1344
1781596474.034071,15752,8,1468
1781596474.034071,16304,292,1312
1781596474.034071,16212,260,1016
1781596474.034071,15640,-172,684
1781596474.034071,15436,48,1472
1781596474.034071,16072,320,1580
1781596474.034071,16380,80,1212
1781596474.0350668,16680,120,1004
1781596474.0350668,16360,260,900
1781596474.0350668,16664,64,660
1781596474.0350668,16888,332,724
1781596474.0350668,15940,224,808
1781596474.0350668,15352,-16,1288
1781596474.0350668,14952,-472,1496
1781596474.0350668,16356,140,1324
1781596474.0350668,16504,-124,936
1781596474.0360787,15552,-300,1192
1781596474.0360787,15244,-216,1436
1781596474.0360787,15420,-312,1184
1781596474.0360787,15756,-164,1356
1781596474.0360787,16016,-156,1072
1781596474.0360787,16420,-372,380
1781596474.0360787,15284,-448,1184
1781596474.0360787,15768,-348,1276
1781596474.0370672,16568,-240,1092
1781596474.0370672,16980,-28,1288
1781596474.0370672,17148,-92,1112
1781596474.0370672,16784,-276,860
1781596474.0370672,15976,-96,1164
1781596474.0370672,15860,-200,1132
1781596474.0370672,16304,-296,972
1781596474.0370672,16484,8,1020
1781596474.0370672,15576,-156,1216
1781596474.0380769,15140,-136,1540
1781596474.0380769,15496,-276,1032
1781596474.0380769,15464,-416,876
1781596474.0380769,15456,-140,1316
1781596474.0380769,15968,48,1692
1781596474.0380769,16244,-300,1324
1781596474.0380769,16200,356,1624
1781596474.0391731,15368,-12,1408
1781596474.0391731,15916,-76,1096
1781596474.0391731,16676,-60,1084
1781596474.0391731,17028,-108,1108
1781596474.0391731,16256,-256,1248
1781596474.0391731,15924,-212,1464
1781596474.0391731,15784,-388,940
1781596474.040181,15820,-220,1052
1781596474.040181,15968,-380,1176
1781596474.040181,15992,-24,1544
1781596474.040181,16336,-128,1628
1781596474.040181,16140,-300,1148
1781596474.040181,16532,76,1208
1781596474.040181,16136,-316,788
1781596474.040181,15540,-316,880
1781596474.040181,15184,-32,1496
1781596474.040181,15864,20,1468
1781596474.041807,16460,144,1036
1781596474.041807,16432,-132,552
1781596474.041807,15760,-196,448
1781596474.041807,14752,-44,1320
1781596474.041807,15536,-24,1244
1781596474.041807,16520,-148,684
1781596474.041807,16296,740,1240
1781596474.041807,15504,164,1512
1781596474.0429318,16416,20,1464
1781596474.0429318,16924,-316,872
1781596474.0429318,16948,528,1108
1781596474.0429318,16152,340,1124
1781596474.0429318,15788,-104,1112
1781596474.0536885,16312,84,1516
1781596474.0749047,16516,320,1256
1781596474.0963945,15588,-160,756
1781596474.118764,15676,296,1380
1781596474.1402025,15772,-88,1288
1781596474.1616151,15948,48,1216
1781596474.1833105,16312,312,1056
1781596474.2046025,15892,120,852
1781596474.2260072,15900,-32,744
1781596474.2473776,15860,-32,808
1781596474.2693322,16284,156,836
1781596474.2904382,16380,156,920
1781596474.312529,16568,84,892
1781596474.3332877,16176,60,1188
1781596474.3553677,16392,180,1028
1781596474.3768115,15604,-164,908
1781596474.398018,16316,504,1056
1781596474.4203901,16416,-188,636
1781596474.4415934,15888,104,1292
1781596474.463127,15400,216,1628
1781596474.4841316,15820,148,1516
1781596474.5063946,16140,96,1096
1781596474.5280788,15908,-32,956
1781596474.5484471,15748,228,1144
1781596474.570417,15872,436,1104
1781596474.5924408,16532,328,780
1781596474.6133912,16188,36,928
1781596474.635234,15768,152,1388
1781596474.6568906,15936,188,1328
1781596474.678862,16060,32,1104
1781596474.6998742,15928,-152,1088
1781596474.7217007,15908,-88,1068
1781596474.7428772,15920,88,1260
1781596474.764927,16140,208,1504
1781596474.7857475,16380,-180,1020
1781596474.8078544,16112,-148,1060
1781596474.8289654,16200,356,1284
1781596474.8505461,16200,-192,944
1781596474.8727345,16232,-20,932
1781596474.8938496,16116,572,1400
1781596474.9154544,15620,204,1352
1781596474.936523,15656,-256,800
1781596474.9576192,15804,-388,548
1781596474.9799645,15992,188,860
1781596475.0017152,15896,-48,756
1781596475.0230906,16220,-28,1152
1781596475.0446515,16148,-212,920
1781596475.065917,16280,48,1196
1781596475.0873613,16036,92,1716
1781596475.1092017,15416,-588,1268
1781596475.1300366,16204,200,1460
1781596475.152167,15912,-8,1156
1781596475.173731,16036,168,1384
1781596475.1951697,15788,-4,1176
1781596475.2165754,16248,-236,616
1781596475.23848,16036,284,1136
1781596475.2598734,15716,64,820
1781596475.281598,16228,-32,536
1781596475.3027177,16404,256,880
1781596475.3242798,15720,16,1068
1781596475.3455775,16192,308,808
1781596475.3669274,15856,-12,644
1781596475.3889713,15908,-40,600
1781596475.4103959,15940,204,924
1781596475.4317534,16208,28,828
1781596475.453767,16176,56,1100
1781596475.4752884,16068,108,1024
1781596475.4964242,15764,164,1108
1781596475.5182686,16032,60,900
1781596475.5393043,15496,-144,944
1781596475.5619316,16344,324,936
1781596475.5827963,15868,12,632
1781596475.6041703,15996,264,936
1781596475.6261325,16312,420,984
1781596475.646744,15856,-60,892
1781596475.6687274,16096,220,904
1781596475.6906164,16184,184,892
1781596475.7116013,16364,408,1056
1781596475.7340748,16068,336,880
1781596475.7555575,15616,-312,664
1781596475.776681,15676,-168,816
1781596475.7975714,15996,536,1264
1781596475.8197813,17672,280,1244
1781596475.8412938,15688,-248,632
1781596475.8624618,15860,20,940
1781596475.884014,16184,188,908
1781596475.9048784,16228,424,860
1781596475.927278,16288,52,580
1781596475.948594,15796,-36,640
1781596475.970377,15892,192,856
1781596475.9918237,16376,388,832
1781596476.0128484,16120,60,680
1781596476.0347056,15868,148,768
1781596476.056398,15888,16,580
1781596476.0782735,15812,-4,736
1781596476.0997317,16256,436,1040
1781596476.1204104,16012,80,648
1781596476.1422913,15848,56,868
1781596476.1645381,16084,160,600
1781596476.1855423,16172,-44,592
1781596476.2068334,16140,460,988
1781596476.2292478,16088,-92,500
1781596476.2500403,15788,196,960
1781596476.2717764,16240,20,456
1781596476.2937405,16072,224,556
1781596476.314453,15632,-188,848
1781596476.3358636,16124,84,708
1781596476.3575883,15668,296,860
1781596476.3794518,16276,296,580
1781596476.4006853,16088,84,192
1781596476.422529,16072,132,352
1781596476.4436996,16136,196,492
1781596476.465362,16264,36,584
1781596476.487475,16092,44,544
1781596476.508556,15968,224,696
1781596476.5302167,15944,-64,372
1781596476.55163,16048,80,392
1781596476.5735633,15864,212,496
1781596476.5947256,15936,76,620
1781596476.6159685,15984,-104,588
1781596476.6386397,16300,344,752
1781596476.658873,15952,48,488
1781596476.6805778,15840,36,668
1781596476.7029707,16184,176,692
1781596476.723733,16016,-32,328
1781596476.745489,16056,268,732
1781596476.7683482,16004,156,588
1781596476.7894704,16108,-8,572
1781596476.8116522,16200,192,548
1781596476.83298,16156,88,236
1781596476.8544395,16100,268,580
1781596476.8763943,16060,-188,228
1781596476.8976548,16292,604,844
1781596476.9192567,16432,24,156
1781596476.9401977,15948,260,524
1781596476.9627485,15980,-176,276
1781596476.9839327,16016,436,588
1781596477.0053358,16244,112,380
1781596477.0266094,15596,-68,488
1781596477.0489125,16208,60,292
1781596477.0701451,16092,-180,408
1781596477.0915382,15996,312,696
1781596477.112884,16288,192,440
1781596477.1341271,16016,92,484
1781596477.156225,15796,-108,480
1781596477.1778777,15972,16,348
1781596477.1991978,16424,484,516
1781596477.2212317,15900,-56,480
1781596477.2424607,15932,20,424
1781596477.263316,16196,172,212
1781596477.2850304,16032,160,480
1781596477.3064966,16208,316,616
1781596477.3285255,16144,48,476
1781596477.3497615,15968,32,424
1781596477.3712878,16088,168,576
1781596477.3928232,16136,192,416
1781596477.4149532,16192,128,264
1781596477.4358985,15948,160,596
1781596477.4578762,16120,-36,428
1781596477.478692,16140,272,520
1781596477.4998748,16072,-68,388
1781596477.5218043,15716,196,664
1781596477.5441098,16172,-8,372
1781596477.5654504,16044,400,748
1781596477.58738,16240,-108,208
1781596477.6084456,16064,36,432
1781596477.629812,16096,220,356
1781596477.651939,16160,284,444
1781596477.6726036,16320,352,400
1781596477.6942399,16076,-36,640
1781596477.7157626,15948,40,656
1781596477.7371078,16136,176,492
1781596477.7591484,16076,148,404
1781596477.7802691,15996,276,588
1781596477.8015587,16064,164,328
1781596477.8233988,16244,168,496
1781596477.8454921,15936,-96,468
1781596477.8661132,16136,12,404
1781596477.8882194,16136,352,360
1781596477.9094195,15772,208,536
1781596477.931548,16028,284,808
1781596477.953301,16216,-68,300
1781596477.9741864,16188,260,632
1781596477.9957814,16224,56,336
1781596478.0176249,15844,-24,304
1781596478.0384443,16076,220,480
1781596478.0604644,16292,76,488
1781596478.0815563,16096,60,456
1781596478.10381,15928,84,360
1781596478.1250815,16260,188,36
1781596478.1471913,16220,-252,-4
1781596478.1681457,15748,-40,72
1781596478.1903944,16240,76,384
1781596478.2114549,16264,24,308
1781596478.2335427,15908,-24,376
1781596478.2545207,15968,-112,184
1781596478.2760787,16152,156,384
1781596478.2980106,16684,548,200
1781596478.3192165,16152,148,516
1781596478.3398395,16360,32,212
1781596478.3624725,15888,-108,-28
1781596478.3830633,15880,216,192
1781596478.4049592,15984,-84,148
1781596478.4267957,15996,-24,240
1781596478.447575,16136,144,268
1781596478.469702,16076,140,356
1781596478.4902701,15996,52,272
1781596478.5125775,15780,-148,320
1781596478.5344763,16460,148,4
1781596478.5555003,16112,-136,-36
1781596478.5775094,15988,-72,264
1781596478.5987623,16056,276,596
1781596478.6201956,16356,-204,8
1781596478.6414332,15968,-60,72
1781596478.6634889,15708,-120,84
1781596478.6846972,16272,336,340
1781596478.7062507,16060,-20,32
1781596478.727929,15924,0,192
1781596478.750102,16068,-52,192
1781596478.7713048,15988,108,204
1781596478.792369,16096,176,456
1781596478.8137896,16148,52,228
1781596478.835473,15748,-40,-52
1781596478.8568058,15772,92,272
1781596478.8790762,16104,48,-28
1781596478.9002213,16180,200,252
1781596478.921564,16076,-12,88
1781596478.943714,15980,92,180
1781596478.964723,16072,112,156
1781596478.9856687,16100,4,52
1781596479.0076988,16048,12,92
1781596479.029246,15704,-188,156
1781596479.0513084,16308,552,548
